date,species,sample_id,algae_id,light_dark,run_block,wetweight_g,chamber_channel,temp_c,light_level,light_value,umol.sec,blank.rate,umol.sec.corr,umol.g.hr,umol.g.hr_uncorr
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,23.859105263157893,1,0,-0.0019314328888888497,-3.2960053074839856e-4,-0.0016018323581404512,-5.103182733898783,-6.15323752212377
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,23.871,2,98,-1.4774100000000754e-4,-1.9224273139399544e-4,4.4501731393987895e-5,0.14177542744987295,-0.47067929203542236
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,23.800526315789472,3,202,0.0012739812013348119,-1.7441781506780303e-4,0.001448399016402615,4.614368547831339,4.058701172394091
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,23.778157894736843,4,298,0.0025290664285714222,-1.6075240831965617e-4,0.002689818836891078,8.569334347617595,8.057202781289488
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,23.810921052631578,5,397,0.0033394481436211047,-4.445664786949154e-5,0.0033839047914905962,10.78058163660721,10.638949838084937
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,23.992526315789473,6,490,0.004944951869565124,-1.487806602208041e-4,0.005093732529785929,16.227820448875526,15.753828964986239
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,24.13736842105263,7,595,0.005422872192118219,-2.1610004880058138e-4,0.0056389722409188004,17.964867316201488,17.27640698373946
2026-02-03,as,AS01T_TPI_RUN2,AS01T,light,run2,1.13,1,24.33078947368421,8,690,0.006047557499999988,-8.691008451571087e-5,0.006134467584515699,19.543436552439395,19.266554867256602
2026-02-03,as,AS02T_TPI_RUN2,AS02T,light,run2,0.44,12,23.810394736842103,1,0,-0.0011681116233766265,-3.2960053074839856e-4,-8.385110926282279e-4,-6.860545303321865,-9.557276918536035
2026-02-03,as,AS02T_TPI_RUN2,AS02T,light,run2,0.44,12,23.805026315789473,2,98,8.446432330829216e-5,-1.9224273139399544e-4,2.7670705470228757e-4,2.2639668112005347,0.6910717361587541
2026-02-03,as,AS02T_TPI_RUN2,AS02T,light,run2,0.44,12,23.725421052631575,3,202,9.146047619047804e-4,-1.7441781506780303e-4,0.0010890225769725835,8.910184720684775,7.483129870130022
2026-02-03,as,AS02T_TPI_RUN2,AS02T,light,run2,0.44,12,23.6965,4,298,0.0018588242063492355,-1.6075240831965617e-4,0.0020195766146688917,16.52380866547275,15.208561688311926
